	T(a.u.)	X(a.u.)	Y(a.u.)	Z(a.u.)	Vx(a.u.)	Vy(a.u.)	Vz(a.u.)
2672	26.728909636545517	-116.65606686684879	-116.75356096209109	-116.03207375918477	-0.636393448271677	-0.6373722697676116	-0.6325462666064284
2673	26.738912970990327	-116.69615175949896	-116.79370750835302	-116.0719163271151	-0.6363896946698331	-0.6373686152121923	-0.6325425248574218
2674	26.748916305435145	-116.7362364157188	-116.83385382442333	-116.1117586593617	-0.6363859436525036	-0.6373649631799704	-0.6325387857098925
2675	26.75891963987996	-116.77632083567109	-116.8739999104609	-116.15160075608837	-0.6363821952171685	-0.6373613136680686	-0.6325350491610919
2676	26.768922974324774	-116.81640501951844	-116.91414576662449	-116.19144261745882	-0.6363784493613093	-0.6373576666736136	-0.6325313152082715
2677	26.77892630876959	-116.85648896742336	-116.95429139307268	-116.23128424363658	-0.6363747060824086	-0.6373540221937356	-0.6325275838486834
2678	26.788929643214402	-116.89657267954811	-116.99443678996383	-116.27112563478495	-0.6363709653779506	-0.6373503802255686	-0.6325238550795796
2679	26.79893297765922	-116.93665615605492	-117.0345819574562	-116.31096679106714	-0.6363672272454204	-0.6373467407662503	-0.6325201288982133
2680	26.808936312104034	-116.97673939710573	-117.07472689570776	-116.35080771264613	-0.6363634916823047	-0.6373431038129225	-0.6325164053018375
2681	26.81893964654885	-117.0168224028624	-117.11487160487637	-116.39064839968474	-0.6363597586860913	-0.6373394693627303	-0.6325126842877061
2682	26.828942980993666	-117.05690517348664	-117.15501608511973	-116.43048885234562	-0.6363560282542694	-0.6373358374128232	-0.6325089658530733
2683	26.838946315438477	-117.09698770913992	-117.19516033659526	-116.47032907079122	-0.6363523003843296	-0.637332207960354	-0.6325052499951938
2684	26.848949649883295	-117.13707000998367	-117.23530435946034	-116.51016905518391	-0.6363485750737633	-0.6373285810024795	-0.6325015367113229
